blue,green,red,re_1,re_2,re_3,re_4,swir_1,swir_2,G_over_R,G_over_B,B_over_R,B_over_NIR_plus_G,SABI,kab1,NDWI,MNDWI,NDMI,NDCI,CHL1,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SVD1,SVD2,SVD3,SVD4,SVD5,SVD6,SVD7,SVD8,SVD9,SVD10,SVD11,SVD12,SVD13,SVD14,SVD15,SVD16,SVD17,SVD18,SVD19,blue_bin,green_bin,red_bin,re_1_bin,re_2_bin,re_3_bin,re_4_bin,swir_1_bin,swir_2_bin,G_over_R_bin,G_over_B_bin,B_over_R_bin,B_over_NIR_plus_G_bin,SABI_bin,kab1_bin,NDWI_bin,MNDWI_bin,NDMI_bin,NDCI_bin,CHL1_bin,PC1_bin,PC2_bin,PC3_bin,PC4_bin,PC5_bin,PC6_bin,PC7_bin,PC8_bin,PC9_bin,PC10_bin,PC11_bin,PC12_bin,PC13_bin,PC14_bin,PC15_bin,PC16_bin,PC17_bin,PC18_bin,PC19_bin,PC20_bin,SVD1_bin,SVD2_bin,SVD3_bin,SVD4_bin,SVD5_bin,SVD6_bin,SVD7_bin,SVD8_bin,SVD9_bin,SVD10_bin,SVD11_bin,SVD12_bin,SVD13_bin,SVD14_bin,SVD15_bin,SVD16_bin,SVD17_bin,SVD18_bin,SVD19_bin,chl_a
592,920,597,695,372,394,299,162,139,1.541038526,1.554054054,0.991624791,920.8517986,0.064814815,11.30557241,0.139318885,0.737488196,-0.075851393,0.075851393,3.795918367,-0.4682537,-0.126606977,0.167852762,0.111150117,0.186934297,-0.016124928,-0.015578306,-0.001217444,-0.00600778,-0.029937125,0.02048659,0.002952535,0.018131933,0.004159476,-0.005091561,0.005195948,-0.003577767,-0.003457553,-1.91E-06,-5.83E-17,1.843761243,-0.486592293,0.167048104,0.159244189,-0.000510078,0.178678054,-0.005013743,-0.015908658,0.001611873,-0.010396716,-0.029143709,0.02048353,0.018457787,0.001918698,0.001592368,-0.005477288,-0.00327004,-0.005637234,-0.003438836,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,6.97
532,885,543,723,383,403,277,128,112,1.629834254,1.663533835,0.979742173,885.735823,0.127028934,11.40154058,0.100746269,0.775325978,-0.142180095,0.142180095,2.127777778,-0.502999931,-0.183071238,0.34664577,0.222865144,0.151470619,-0.056418026,-0.04291714,-0.002989763,0.00042875,-0.048607839,0.032045956,0.009203337,0.02518896,0.007217049,-0.004708934,0.009814439,0.003374051,-0.003445121,-7.82E-06,-3.73E-17,1.812898685,-0.510953165,0.321517749,0.27768295,0.103903849,0.179780772,-0.043033242,-0.042113904,-0.003637293,-0.006820299,-0.048289421,0.031924669,0.026425585,0.006121432,0.004368146,-0.005785355,-0.010393348,-0.001348263,-0.003423822,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,8.45
626,978,622,768,415,427,316,167,148,1.572347267,1.562300319,1.006430868,978.8151042,0.091022444,11.40990121,0.120274914,0.737122558,-0.105035971,0.105035971,2.842465753,-0.412893591,-0.152675149,0.224577661,0.170307413,0.157000215,-0.0455332,-0.023206122,-0.001373425,-0.00238591,-0.026422192,0.017152585,0.002971956,0.01974609,0.003843248,-0.005859254,0.005504203,0.000131165,-0.002690616,-4.08E-06,9.81E-18,1.862691974,-0.434957551,0.223372329,0.192268251,0.064631433,0.17603576,-0.031307081,-0.022914458,-0.000623896,-0.006957961,-0.025857104,0.017140158,0.020036573,0.001398699,0.001046671,-0.006168229,-0.005243858,-0.002499215,-0.002672332,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9
623,962,627,762,406,437,321,170,149,1.534290271,1.544141252,0.993620415,962.8175853,0.085173502,11.35845403,0.116009281,0.731773177,-0.097192225,0.097192225,3.007407407,-0.416686144,-0.132169504,0.218400679,0.136265823,0.145599004,-0.036337903,-0.020024998,-0.000690859,-0.004422226,-0.025474227,0.016897279,0.00272084,0.014971877,0.004591293,-0.004078076,0.005471069,-0.001732103,-0.003701578,-3.35E-06,-2.04E-17,1.84445735,-0.430504104,0.208233489,0.18300717,0.039182889,0.153892642,-0.02488766,-0.019807784,0.00165132,-0.007108103,-0.024964322,0.016879469,0.015281881,0.001806732,0.002402544,-0.004766051,-0.004334749,-0.004107587,-0.003682885,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,8.99
589,956,611,763,410,440,314,163,148,1.564648118,1.623089983,0.963993453,956.7719528,0.098381877,11.46219747,0.112274578,0.731884058,-0.11062591,0.11062591,2.697368421,-0.424663753,-0.163048548,0.277091499,0.153276579,0.176409759,-0.046763084,-0.022538511,-4.78E-05,-0.002154357,-0.036021934,0.025809725,0.008875503,0.018282248,0.002801696,-0.00539918,0.00823736,-0.001776834,-0.003731705,-5.03E-06,-5.50E-17,1.846174067,-0.440269534,0.26645688,0.219563458,0.038198504,0.184213502,-0.032945106,-0.022207995,0.000561636,-0.004635874,-0.035951227,0.025693607,0.019545173,0.006491958,3.84E-05,-0.004778505,-0.006563285,-0.005155292,-0.003713323,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,8.48
584,915,584,725,387,432,305,144,134,1.566780822,1.566780822,1,915.8055172,0.094062708,11.31585774,0.115853659,0.744518589,-0.107715814,0.107715814,2.744680851,-0.466952035,-0.134707305,0.243357186,0.164013269,0.146538637,-0.037802884,-0.02383623,-0.001664325,-0.001718753,-0.029457158,0.023049392,0.0027836,0.018766842,0.006675642,-0.00216917,0.008908618,-0.000828337,-0.004030423,-4.29E-06,1.48E-17,1.823817665,-0.476004372,0.223295933,0.210051721,0.059919283,0.160461052,-0.025859543,-0.023586044,-0.001503738,-0.007272926,-0.028848252,0.023037028,0.019055941,0.001780168,0.004946861,-0.003490846,-0.007761117,-0.004755803,-0.004004527,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.59
634,976,611,729,346,378,271,127,112,1.597381342,1.539432177,1.037643208,976.8696845,0.073291925,11.37333745,0.144868035,0.794117647,-0.088059701,0.088059701,2.93220339,-0.451580247,-0.187015392,0.147013918,0.173108221,0.162567432,-0.024953726,-0.029474807,-0.003639642,-0.004163398,-0.021394043,0.017072935,0.000593975,0.019131989,0.009377133,-0.003848275,0.005668834,-0.000944419,-0.00022533,-2.80E-06,8.64E-18,1.896209072,-0.493821366,0.191645526,0.136930213,0.069479414,0.183575715,-0.011520355,-0.029619543,-0.001800039,-0.011971434,-0.02024623,0.017140883,0.019101209,0.000626949,0.006901113,-0.006347183,-0.005021166,-0.003621949,-0.000204211,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,7.89
566,929,599,744,351,393,263,122,109,1.550918197,1.641342756,0.94490818,929.7607527,0.096989967,11.44432248,0.110579797,0.789980732,-0.107967238,0.107967238,2.420689655,-0.465517404,-0.198394528,0.280664461,0.12939079,0.160203226,-0.030888607,-0.034955725,-0.000990548,-0.005632652,-0.040994307,0.030639155,0.011147511,0.013755443,0.005145168,-0.005136259,0.008103863,-0.003207871,-0.003513276,-4.83E-06,1.32E-17,1.84236238,-0.484373959,0.294875961,0.199347176,0.02494618,0.16115841,-0.021359105,-0.034653383,0.002739846,-0.007455937,-0.040873854,0.030496549,0.015468651,0.009474091,0.002213562,-0.005209781,-0.005764906,-0.006334876,-0.00349714,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,7.8
522,897,535,718,359,400,253,103,97,1.676635514,1.718390805,0.975700935,897.7270195,0.128964059,11.49552573,0.110835913,0.804828974,-0.146049481,0.146049481,1.961748634,-0.513851128,-0.233694165,0.353387277,0.247663318,0.181117197,-0.056215623,-0.047596495,-0.003733018,0.002437217,-0.053463507,0.039762812,0.013159438,0.028724396,0.009359264,-0.003915433,0.014777991,0.002522045,-0.000959427,-9.29E-06,4.26E-18,1.844081723,-0.538015294,0.356770826,0.277959719,0.113923086,0.213849938,-0.040322618,-0.046957905,-0.006216367,-0.007113274,-0.053175787,0.039610911,0.030601513,0.009930934,0.006364893,-0.005119413,-0.01425945,-0.004100512,-0.000931713,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,6.91
647,1088,659,919,498,557,390,196,172,1.650986343,1.681607419,0.981790592,1088.704026,0.149855908,11.73789841,0.084205282,0.726984127,-0.164765526,0.164765526,1.915384615,-0.303376429,-0.230473346,0.392923559,0.278874572,0.157827568,-0.095323426,-0.033052319,-0.000675078,0.009252398,-0.033477715,0.020302056,0.013239657,0.018327795,0.00579327,-0.002992694,0.009001267,0.00058244,0.002062158,-1.03E-05,-3.65E-17,1.907963877,-0.336194533,0.387283984,0.295202305,0.15514051,0.213193976,-0.073920101,-0.03186337,-0.007781286,0.004082717,-0.034099672,0.020108434,0.020277567,0.009789058,0.003639337,-0.00349641,-0.008163686,-0.003261979,0.002075891,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,9.17
649,1079,650,896,479,533,363,187,168,1.66,1.662557781,0.998461538,1079.72433,0.142361111,11.6994938,0.092658228,0.730553328,-0.15912031,0.15912031,1.947154472,-0.320424541,-0.226083974,0.362615457,0.281406316,0.159707869,-0.095065832,-0.034128128,-0.001346701,0.008964439,-0.031323537,0.019343391,0.010764846,0.021082185,0.005909101,-0.002574478,0.010555409,0.001268547,0.002309907,-9.65E-06,3.12E-18,1.909268099,-0.355562527,0.36289185,0.279755135,0.158284786,0.2172805,-0.073046056,-0.032986353,-0.008436408,0.002331691,-0.03165276,0.019199617,0.022609345,0.007655759,0.003906814,-0.003136926,-0.009896156,-0.003360282,0.002329004,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,9.13
573,978,593,817,389,448,301,145,127,1.649241147,1.706806283,0.966273187,978.7013464,0.144422953,11.61071598,0.089693593,0.770135747,-0.158865248,0.158865248,1.736607143,-0.419806788,-0.233492636,0.392009536,0.250587471,0.158467064,-0.083415438,-0.04742683,-0.002062904,0.003528783,-0.046665052,0.031367157,0.015609381,0.019505274,0.010978852,-0.002676426,0.009267628,0.001049042,-0.000237316,-1.00E-05,-6.53E-17,1.860167164,-0.442297171,0.38787091,0.290053294,0.128136432,0.200754676,-0.066197218,-0.046125046,-0.004140959,-0.001039662,-0.047091374,0.03114286,0.021848936,0.012178428,0.008472356,-0.004989437,-0.008704804,-0.003038455,-0.000222686,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.2
659,1064,657,886,469,497,343,186,164,1.619482496,1.614567527,1.00304414,1064.743792,0.132907719,11.61186631,0.091282051,0.732899023,-0.148412184,0.148412184,2.048034934,-0.328528177,-0.201929706,0.331604242,0.248467786,0.134126823,-0.087555099,-0.035265815,-0.001376175,0.005199468,-0.027872682,0.014747252,0.008053166,0.019348224,0.003825027,-0.003680174,0.006794268,0.001741316,0.000224853,-7.78E-06,-6.03E-17,1.892759504,-0.356792535,0.329106379,0.253445612,0.141918425,0.185442134,-0.068848515,-0.034064559,-0.00520597,0.000492076,-0.028048038,0.01463544,0.020434475,0.005047653,0.001760872,-0.00389662,-0.006871745,-0.001412982,0.00023836,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.29
714,1088,703,871,461,476,350,202,190,1.547652916,1.523809524,1.015647226,1088.819747,0.093229745,11.51422017,0.110770801,0.702660407,-0.106734435,0.106734435,2.744047619,-0.299280362,-0.153553884,0.212900173,0.171230678,0.137724595,-0.067641532,-0.019593049,1.84E-05,0.00099227,-0.014555789,0.010201126,0.002453048,0.014958759,0.001453781,-0.005118578,0.003373831,-0.000289543,-0.001553504,-3.88E-06,-3.13E-17,1.903815975,-0.329502197,0.221241606,0.171806985,0.079427379,0.168531797,-0.050915539,-0.018925905,-0.001404913,-0.001335159,-0.014429603,0.010178485,0.015191442,0.00082859,-0.000776074,-0.004844545,-0.003091778,-0.001898259,-0.001540887,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.74
686,1068,684,843,426,479,321,195,171,1.561403509,1.556851312,1.002923977,1068.81376,0.090649943,11.5349004,0.117739403,0.723970944,-0.104125737,0.104125737,2.679245283,-0.329002351,-0.174523738,0.215718103,0.16742628,0.158488379,-0.058686671,-0.02293744,-0.000361028,-0.00066827,-0.02111021,0.011575691,0.004981625,0.013352858,0.003827207,-0.001589978,0.008543251,-0.002566806,-0.001036978,-4.13E-06,-2.61E-17,1.907101852,-0.363933393,0.235460905,0.171292273,0.066400726,0.18304558,-0.042257393,-0.022476364,-0.000766445,-0.003564632,-0.020895338,0.011529938,0.014053636,0.003981995,0.002491265,-0.00176336,-0.006437995,-0.005957576,-0.001016866,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,9.26
619,1033,630,824,417,484,308,167,150,1.63968254,1.668820679,0.982539683,1033.751214,0.117433414,11.64224196,0.112547119,0.746407439,-0.133425034,0.133425034,2.149484536,-0.375105376,-0.225110359,0.309135002,0.228608561,0.190844109,-0.072694677,-0.031853533,-0.001126814,0.004005693,-0.036065507,0.024215258,0.011882214,0.020349905,0.005903027,-0.001807355,0.014150561,-0.001432479,0.000616145,-7.81E-06,1.28E-17,1.902483538,-0.412690314,0.326111603,0.239701659,0.10038002,0.225960128,-0.052717562,-0.031206841,-0.005054549,-0.001809236,-0.036158508,0.024074094,0.022105085,0.009465272,0.004000066,-0.001908062,-0.011749988,-0.007202476,0.000641958,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,8.79
